YYYYMMDD,YYYY.DECM,N(m),E(m),U(m),sig_n(mm),sig_e(mm),sig_u(mm)
2011-08-12,2011.6123,4.8,-383.7,1.6,2.7,2.8,9.0
2011-08-13,2011.6151,7.6,-385.0,-1.9,2.3,2.4,7.7
2011-08-14,2011.6178,4.8,-383.1,1.6,4.9,7.5,14.8
2011-08-15,2011.6205,7.3,-384.6,1.4,2.4,2.4,7.8
2011-08-16,2011.6233,6.1,-384.5,-3.2,2.5,2.5,8.2
2011-08-17,2011.626,6.4,-387.1,-4.5,2.4,2.5,7.9
2011-08-18,2011.6288,6.9,-385.2,-12.6,2.5,2.6,8.3
2011-08-19,2011.6315,7.2,-383.7,-5.9,2.4,2.5,7.9
2011-08-20,2011.6342,5.7,-382.9,-3.8,2.6,2.6,8.7
2011-08-21,2011.637,6.8,-384.2,-9.2,2.3,2.3,7.6
2011-08-22,2011.6397,8.6,-384.1,-0.8,2.6,2.6,8.8
2011-08-23,2011.6425,7.6,-383.1,-10.5,2.4,2.4,7.7
2011-08-24,2011.6452,6.6,-383.2,-11.2,2.3,2.4,7.5
2011-08-25,2011.6479,4.4,-382.9,-4.5,2.3,2.4,7.3
2011-08-26,2011.6507,6.7,-384.4,-9.3,2.2,2.1,7.1
2011-08-27,2011.6534,6.2,-383.3,-3.3,2.1,2.1,7.0
2011-08-28,2011.6562,6.7,-383.2,-5.6,2.3,2.4,7.6
2011-08-29,2011.6589,6.5,-384.7,-1.4,2.2,2.2,7.2
2011-08-30,2011.6616,7.4,-384.1,-5.2,2.1,2.1,6.8
